Field of study,Graduates,Total Employed,Full Time,Part Time,Unemployed,Retired,Not employed or not seeking work
"Social sciences, other",11050,9100,7750,1350,200,1550,250
Engineering,186700,164650,154450,10200,3550,15250,3250
"Aerospace, aeronautical, and astronautical engineering",7350,6500,6200,350,50,650,100
Chemical engineering,23200,20250,19000,1200,250,2200,500
Civil engineering,20000,17900,16600,1250,300,1550,300
Electrical and computer engineering,50950,45850,43050,2800,950,3350,800
Computer engineering,6500,6000,5850,150,100,250,100
"Electrical, electronics, and communications engineering",44450,39800,37200,2650,800,3100,700
Mechanical engineering,26700,23700,22600,1100,550,1900,500
Metallurgical and materials engineering,17950,15400,14550,850,550,1700,300
Other engineering,40550,35050,32450,2650,850,3950,650
Agricultural engineering,1900,1550,1450,100,D,300,D
Bioengineering and biomedical engineering,12450,11600,10950,650,200,350,300
"Engineering mechanics, physics, and science",5350,4150,3850,300,100,1000,100
Industrial and manufacturing engineering,9950,8700,7950,750,150,950,150
Nuclear engineering,3400,2750,2500,200,D,600,D
"Engineering, other",7450,6300,5700,600,250,750,100
Health,44100,37950,33700,4250,750,4650,750
Communication disorders sciences and services,4100,3400,2700,750,D,550,100
Hospital and medical administration services,2300,1700,1550,150,S,450,D
"Pharmacy, pharmaceutical sciences, and administration",8200,7400,6850,600,100,600,100
Public health,8050,7100,6500,600,150,450,300
"Registered nursing, nursing administration, nursing research",10750,8900,7650,1200,D,1650,D
"Health sciences, other",10700,9450,8500,900,250,900,150
,,,,,,,
Codes used in data tables: * = suppressed when population estimate < 25. D = suppressed to avoid disclosure of confidential information. na = not applicable. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,
SE = standard error.,,,,,,,
a Unemployed includes individuals who were not working during the survey reference week but had been seeking work in the prior 4 weeks or who were on layoff from their job.,,,,,,,
"b Not employed or not seeking work includes individuals who were not working during the survey reference week and had not been seeking work in the prior 4 weeks because of family responsibilities, chronic illness, or other reasons.",,,,,,,
"NOTES: Numbers are rounded to the nearest 50. Standard errors are rounded up to the nearest 25. Detail may not add to total because of rounding. Designation of full-time and part-time employment status is based on principal job only, not on all jobs held in labor force. For example, an individual could work part time in his or her principal job but full time in the labor force. Residence location is based on reported living location on 1 February 2017.",,,,,,,
"SOURCE:  National Science Foundation, National Center for Science and Engineering Statistics, Survey of Doctorate Recipients: 2017.",,,,,,,
